Program Name,Contract,Type,Company,Fuel Surcharges,Mins,Daily,Hourly,Annual Membership fees
flyExclusive Light JC4 100k deposit,JC4,Light,flyExclusive,,,6800,3500,12000
FJ - Jet Card - Phenom 300 - 25 hours,,Light,Flexjet (FJ) ,1242,1,,7937,
"JET - Access Pass - Light Jet - $200,000",,Light,Jets.com (JET) ,0,1.2,,7780,
JET - Access Pass - Light Jet - 25 hours,,Light,Jets.com (JET) ,0,1.2,,7780,
"JET - Access+ - Light Jet - $400,000",,Light,Jets.com (JET) ,0,1.2,,7580,
JET - Access+ - Light Jet - 50 hours,,Light,Jets.com (JET) ,0,1.2,,7580,
JL - Club Card - Pay-as-you-go - Light,,Light,Jet Linx (JL) ,444,1.2,,7195,
"JL - Executive Card - $150,000 - Light",,Light,Jet Linx (JL) ,444,1.2,,7195,
"JL - Executive Card - $250,000 - Light",,Light,Jet Linx (JL) ,444,1.2,,6979,
"JL - Executive Card - $500,000 - Light",,Light,Jet Linx (JL) ,444,1.2,,6835,
MJ - Business - Phenom 300 - 1 year,,Light,Magellan Jets (MJ),0,1.5,,9000,
MJ - Business - Phenom 300 - 3 years,,Light,Magellan Jets (MJ),0,1.5,,8600,
MJ - Explorer Membership - Light - Pay-as-you-go,,Light,Magellan Jets (MJ),737,1.5,,6800,
MJ - Explorer100 Membership - Light  ,,Light,Magellan Jets (MJ),737,1.5,,6800,
MJ - Light - 100 hours,,Light,Magellan Jets (MJ),737,1.3,,6550,
MJ - Light - 100 hours - 24 hours callout,,Light,Magellan Jets (MJ),737,1.3,,8187.5,
MJ - Light - 25 hours,,Light,Magellan Jets (MJ),737,1.3,,6550,
MJ - Light - 25 hours - 24 hours callout,,Light,Magellan Jets (MJ),737,1.3,,8187.5,
MJ - Light - 50 hours,,Light,Magellan Jets (MJ),737,1.3,,6550,
MJ - Light - 50 hours - 24 hours callout,,Light,Magellan Jets (MJ),737,1.3,,8187.5,
MJ - Premium - Phenom 300 - 100 hours,,Light,Magellan Jets (MJ),0,1,,9375,
MJ - Premium - Phenom 300 - 25 hours,,Light,Magellan Jets (MJ),0,1,,9375,
MJ - Premium - Phenom 300 - 50 hours,,Light,Magellan Jets (MJ),0,1,,9375,
NA - Blue Card - 15 Hours - P300,,Light,Nicholas Air (NA),0,1,,9803,
NA - Blue Card - 30 hours - P300,,Light,Nicholas Air (NA),0,1,,9418,
NA - Blue Card - 60 hours - P300,,Light,Nicholas Air (NA),0,1,,8849,
NA - Lite Card - $200K - P300,,Light,Nicholas Air (NA),0,1,,8161,
NA - Rise Card - $1 million - P300,,Light,Nicholas Air (NA),0,1,,8500,
NA - Rise Card - $200K - P300,,Light,Nicholas Air (NA),0,1,,9602,
NA - Rise Card - $350K - P300,,Light,Nicholas Air (NA),0,1,,9257,
NA - Rise Card - $500K - P300,,Light,Nicholas Air (NA),0,1,,9079,
NJ - 25-hour 275 Card - Phenom 300,,Light,NetJets (NJ),0,0,,8600,
NJ - 25-hour 275 Specialty Card - XLS,,Light,NetJets (NJ),0,0,,11000,
NJ - 25-hour 320 Card - Phenom 300,,Light,NetJets (NJ),0,0,,11200,
NJ - 25-hour 320 Specialty Card - XLS,,Light,NetJets (NJ),0,0,,13000,
NJ - 50-hour 275 Card - Phenom 300,,Light,NetJets (NJ),0,0,,8600,
NJ - 50-hour 275 Specialty Card - XLS,,Light,NetJets (NJ),0,0,,11000,
NJ - 50-hour 320 Card - Phenom 300,,Light,NetJets (NJ),0,0,,10300,
SJ - SJ25 Light Preferred ,,Light,Sentient Jet (SJ) ,756,1.3,,6475,
"WU - Signature - Fixed - Light - $1,000,000",,Light,Wheels Up (WU),62,1.2,,8695,
"WU - Signature - Fixed - Light - $200,000",,Light,Wheels Up (WU),62,1.2,,9295,
"WU - Signature - Fixed - Light - $500,000",,Light,Wheels Up (WU),62,1.2,,8995,
"WU - Signature - Fixed - Light - Northeast to Florida - $1,000,000",,Light,Wheels Up (WU),62,1.2,,7500,
"WU - Signature - Fixed - Light - Northeast to Florida - $200,000",,Light,Wheels Up (WU),62,1.2,,7500,
