Company,type,Cabin type,Aircraft Type,Program Type,Contract Type,Deposit Size,Day Rate,Hourly Rate,Interchange,Interchange To,Annual Membership Fees,Share Share Size,Share %,Fractional Hours,Mangement Fee,Amoritized management fee,Purchase Price
flyExclusive,Secondary,Light,CJ3+,Frax,,,5000,3400,1,CJ3+,,1,0.0625,50,0,0,595000
flyExclusive,Secondary,Mid,XLS,Frax,,,6900,3800,1,XLS,,1,0.0625,50,0,0,625000
flyExclusive,Secondary,Super Mid,Sovereign,Frax,,,7000,5100,1,Sovereign,,1,0.0625,50,0,0,662000
flyExclusive,Secondary,Premium Super Mid,Challenger,Frax,,,9000,7000,1,Challenger,,1,0.0625,50,0,0,1200000
flyExclusive,Secondary,Light,CJ3+,Frax,,,5000,3400,1,CJ3+,,2,0.125,100,0,0,1190000
flyExclusive,Secondary,Mid,XLS,Frax,,,6900,3800,1,XLS,,2,0.125,100,0,0,1250000
flyExclusive,Secondary,Super Mid,Sovereign,Frax,,,7000,5100,1,Sovereign,,2,0.125,100,0,0,1324000
flyExclusive,Secondary,Premium Super Mid,Challenger,Frax,,,9000,7000,1,Challenger,,2,0.125,100,0,0,2400000
Flexjet,New,Light,Phenom 300,Frax,,,,3872,1,,,1,0.0625,50,166584,3331.68,781250
Flexjet,New,Mid,Praetor 500,Frax,,,,5428,1,,,2,0.125,100,363960,3639.6,2718750
Flexjet,New,Mid,Praetor 500,Frax,,,,5428,1,,,1,0.0625,50,219264,4385.28,1359375
Flexjet,New,Super Mid,Praetor 600,Frax,,,,6431,1,,,1,0.0625,50,274356,5487.12,1703125
Flexjet,New,Super Mid,Praetor 600,Frax,,,,6431,1,,,2,0.125,100,466080,4660.8,3406250
Flexjet,New,Premium Super Mid,Challenger 3500,Frax,,,,6431,1,,,1,0.0625,50,274356,5487.12,1640625
Magellan Jets,New,Light,Phenom 300,Frax,,,,3879,1,,,1,0.0625,50,167640,3352.8,834375
NetJets,New,Light,Phenom 300,Frax,,,,3879,1,,,2,0.125,100,268248,2682.48,1668750
NetJets,New,Mid,Praetor 500,Frax,,,,5928,1,,,1,0.0625,50,259320,5186.4,1459375
NetJets,New,Mid,Ascend,Frax,,,,4334,1,,,1,0.0625,50,208248,4164.96,1062500
NetJets,New,Mid,Ascend,Frax,,,,4334,1,,,2,0.125,100,347088,3470.88,2125000
NetJets,New,Super Mid,Latitude,Frax,,,,5473,1,,,1,0.0625,50,219216,4384.32,1459375
NetJets,New,Super Mid,Latitude,Frax,,,,5473,1,,,2,0.125,100,365352,3653.52,2918750
NetJets,New,Premium Super Mid,Longitude,Frax,,,,5998,1,,,1,0.0625,50,288132,5762.64,1900000
NetJets,New,Premium Super Mid,Longitude,Frax,,,,5998,1,,,2,0.125,100,570000,5700,3800000
NetJets,New,Premium Super Mid,Challenger 3500,Frax,,,,6209,1,,,1,0.0625,50,288132,5762.64,1775000
NetJets,New,Premium Super Mid,Challenger 3500,Frax,,,,6209,1,,,2,0.125,100,546000,5460,3550000
